Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
73P/Schwassmann-Wachmann 3-BE,53839,2453893.475,0.6824392137,11.3165548,199.0041337,69.69353535,0.9394213409,4.98,5.09,0.039983,,,,,1,73P/Schwassmann-Wachmann 3-BE
73P/Schwassmann-Wachmann 3-BF,53856,2453893.564,0.6856738995,11.32197626,198.8097995,69.83455705,0.9395742939,5.04,5.17,0.040397,,,,,2,73P/Schwassmann-Wachmann 3-BF
73P/Schwassmann-Wachmann 3-BG,53839,2453895.307,0.6847548055,11.32450054,198.9548257,69.72079452,0.9393418344,5.02,5.14,0.040107,,,,,1,73P/Schwassmann-Wachmann 3-BG
73P/Schwassmann-Wachmann 3-BH,53839,2453895.153,0.6824392137,11.28940623,198.8380688,69.80392621,0.9398162468,4.98,5.09,0.040047,,,,,1,73P/Schwassmann-Wachmann 3-BH
73P/Schwassmann-Wachmann 3-BI,53856,2453895.226,0.6824626795,11.30045753,198.9127974,69.75258615,0.9397650974,4.98,5.09,0.040062,,,,,3,73P/Schwassmann-Wachmann 3-BI
73P/Schwassmann-Wachmann 3-BJ,53839,2453895.186,0.6910944882,11.37022892,198.7979116,69.87876452,0.9392529208,5.14,5.3,0.040461,,,,,2,73P/Schwassmann-Wachmann 3-BJ
73P/Schwassmann-Wachmann 3-BK,53839,2453895.397,0.6915428054,11.37077721,198.775388,69.89745388,0.9392666357,5.15,5.31,0.040494,,,,,2,73P/Schwassmann-Wachmann 3-BK
73P/Schwassmann-Wachmann 3-BL,53839,2453895.363,0.6962237189,11.4093615,198.6994292,69.97335799,0.9390996615,5.24,5.44,0.040742,,,,,2,73P/Schwassmann-Wachmann 3-BL
73P/Schwassmann-Wachmann 3-BM,53839,2453895.516,0.6824392137,11.29433257,198.861349,69.7755882,0.9397568629,4.98,5.09,0.040041,,,,,1,73P/Schwassmann-Wachmann 3-BM
73P/Schwassmann-Wachmann 3-BN,53856,2453894.712,0.6917715065,11.37744926,198.7947706,69.88153448,0.9391857446,5.15,5.32,0.040649,,,,,3,73P/Schwassmann-Wachmann 3-BN
73P/Schwassmann-Wachmann 3-BO,53856,2453894.772,0.6918275631,11.37615727,198.7715536,69.89197757,0.9392190689,5.16,5.32,0.040677,,,,,3,73P/Schwassmann-Wachmann 3-BO
73P/Schwassmann-Wachmann 3-BP,53856,2453894.892,0.6824534537,11.29077484,198.8488389,69.81061093,0.9397832677,4.98,5.09,0.040186,,,,,1,73P/Schwassmann-Wachmann 3-BP
73P/Schwassmann-Wachmann 3-BQ,53856,2453894.8,0.6924538802,11.38826125,198.8198463,69.86577521,0.9391556635,5.17,5.34,0.040612,,,,,2,73P/Schwassmann-Wachmann 3-BQ
73P/Schwassmann-Wachmann 3-BR,53856,2453892.736,0.6851541342,11.31924783,198.8412924,69.82671175,0.9396017862,5.03,5.16,0.040313,,,,,2,73P/Schwassmann-Wachmann 3-BR
73P/Schwassmann-Wachmann 3-BS,53856,2453892.278,0.6985735462,11.44446449,198.7685232,69.93999714,0.9389486718,5.29,5.5,0.040824,,,,,1,73P/Schwassmann-Wachmann 3-BS
79P/du Toit-Hartley,56558,2456527.786,0.61851349,3.145618792,281.6893173,280.6403369,1.123805321,4.77,5.06,0.134779,-0.0000000000487,-0.000000000033,,,16,79P/du Toit-Hartley
85P/Boethin,54252,2454813.247,0.7811606262,4.295294591,37.61838461,359.3961137,1.134657452,9.24,11.81,0.149899,0,0,,,23,85P/Boethin
96P/Machholz 1,56541,2456123.323,0.9592118287,58.31221424,14.7577484,94.32323631,0.1237488531,5.94,5.28,0.333731,0.000000000107,-0.000000000000938,,,53,96P/Machholz 1
103P/Hartley 2,56981,2457863.823,0.693780472,13.60427243,181.3222858,219.7487451,1.064195154,5.89,6.48,0.072005,,,,,252,103P/Hartley 2
104P/Kowal 2,57090,2457473.288,0.6385203614,10.25097305,200.6509533,235.4414959,1.178758464,5.34,5.89,0.202197,0.0000000226,-0.00000000548,0.00000000133,,24,104P/Kowal 2
109P/Swift-Tuttle,50000,2448968.5,0.963225755,113.453817,152.9821676,139.3811921,0.9595161551,51.22,133.28,0.000892,,,,,32,109P/Swift-Tuttle
122P/de Vico,50280,2449996.5,0.9627088868,85.38275311,12.99609194,79.62450069,0.6593373359,34.7,74.35,0.316817,,,,,27,122P/de Vico
141P/Machholz 2-A,53480,2453429.749,0.7501239591,12.79506334,149.2844343,246.1615904,0.7528498784,5.27,5.23,0.105492,-0.00000000281,0.000000000103,0.000000000599,,75,141P/Machholz 2-A
141P/Machholz 2-D,51520,2451522.455,0.7510624112,12.81184124,149.2918108,246.1336343,0.7490056935,5.27,5.22,0.107814,0.0000000227,0.00000000586,,,11,141P/Machholz 2-D
161P/Hartley-IRAS,52749,2453542.365,0.8350738463,95.69806815,47.13845023,1.415670065,1.27343339,14.17,21.46,0.447763,,,,,59,161P/Hartley-IRAS
162P/Siding Spring,53529,2453319.778,0.5972436348,27.84477766,356.3636966,31.25192352,1.227689026,4.87,5.32,0.232183,,,,,86,162P/Siding Spring
169P/NEAT,54296,2453631.013,0.7669277193,11.30444069,217.9760878,176.2204118,0.6069807513,4.6,4.2,0.142644,,,,,114,169P/NEAT
177P/Barnard,53542,2453976.192,0.9545011069,31.1792882,60.34965167,272.1861491,1.107319662,47.57,120.07,0.31003,,,,,27,177P/Barnard
181P/Shoemaker-Levy 6,56908,2456818.826,0.7073228279,16.98117917,333.7988486,37.67945772,1.123593041,6.55,7.52,0.156355,-0.00000000291,-0.0000000000864,,,16,181P/Shoemaker-Levy 6
182P/LONEOS,53241,2454137.333,0.66634233,16.90929665,51.43384257,75.10006349,0.9780224592,4.88,5.02,0.109366,,,,,61,182P/LONEOS
185P/Petriew,56498,2456153.046,0.6993210375,14.00701804,181.9403336,214.0910177,0.9320143358,5.27,5.46,0.060833,,0.000000000172,,,43,185P/Petriew
189P/NEAT,56364,2456128.957,0.5967955467,20.3759014,15.39713787,282.144161,1.177562746,4.66,4.99,0.170302,-0.000000000742,-0.000000000049,,,56,189P/NEAT
197P/LINEAR,56717,2456376.326,0.6296602372,25.54272525,188.7289004,66.38824615,1.061393391,4.67,4.85,0.051318,-0.000000000133,0.0000000000167,0.0000000000717,,46,197P/LINEAR
206P/Barnard-Boattini,51606,2450626.305,0.6886420879,31.97414822,179.5749493,205.2603247,0.9788121332,5.31,5.57,0.01839,,,,,12,206P/Barnard-Boattini
207P/NEAT,54069,2454776.877,0.7569889079,10.14995411,271.195627,200.6742212,0.943996196,6.83,7.66,0.147585,,,,,64,207P/NEAT
209P/LINEAR,55720,2454938.94,0.6923704602,19.44782985,150.4693054,65.46431318,0.9016688219,4.96,5.02,0.051186,,,,,130,209P/LINEAR
210P/Christensen,56908,2456886.746,0.8325032627,10.24010578,345.8255534,93.82650012,0.5313139132,5.81,5.65,0.170738,0.000000000213,0.0000000000523,-0.000000000602,,42,210P/Christensen
217P/LINEAR,54831,2455083.48,0.689642756,12.88188017,246.7754682,125.6220203,1.223482234,6.66,7.83,0.306437,,,,,113,217P/LINEAR
222P/LINEAR,54553,2455075.7,0.7267693964,5.14614339,345.4248856,7.132384188,0.7807614949,4.93,4.83,0.062285,,,,,31,222P/LINEAR
225P/LINEAR,52717,2452555.598,0.6637644633,20.70960946,1.329461349,15.49778451,1.192065517,5.9,6.68,0.194983,,,,,42,225P/LINEAR
249P/LINEAR,54112,2453976.035,0.8161483931,8.4340952,64.04057029,240.6460863,0.5105855707,5.04,4.63,0.052649,,,,,21,249P/LINEAR
252P/LINEAR,52306,2451613.458,0.6724112481,10.38105211,343.2826819,190.9962851,1.001368431,5.11,5.34,0.017389,,,,,25,252P/LINEAR
255P/Levy,56981,2457876.215,0.6681889017,18.26659348,179.6923294,279.7300367,1.00817764,5.07,5.3,0.024517,0.00000000733,-0.00000000415,,,37,255P/Levy
262P/McNaught-Russell,55913,2456265.959,0.8154028826,29.07941912,171.1690206,218.0142884,1.280276583,12.59,18.27,0.291456,,,,,39,262P/McNaught-Russell
263P/Gibbs,54246,2454098.266,0.5869803961,14.4711765,26.31548584,113.3508576,1.251302076,4.81,5.27,0.284398,,,,,15,263P/Gibbs
273P/Pons-Gambart,56799,2456281.057,0.9750961432,136.3989719,20.18419247,320.4310688,0.8104310477,64.27,185.64,0.171765,0.000000000076,0.000000000886,,,9,273P/Pons-Gambart
289P/Blanpain,53393,2452985.145,0.6757685739,5.931685399,9.066912825,69.33306667,0.9986827792,5.16,5.41,0.016462,,-0.000000000771,,,4,289P/Blanpain
294P/LINEAR,55173,2454631.335,0.5945159337,19.0857983,233.2695182,315.4433207,1.297734649,5.1,5.73,0.393614,,,,,27,294P/LINEAR
300P/Catalina,56981,2456807.378,0.693462168,5.691470921,222.7484631,95.8066034,0.8259797783,4.56,4.42,0.024454,,-0.000000000325,,,9,300P/Catalina
306P/LINEAR,53391,2452865.469,0.5982594907,8.364457777,0.7688016312,341.4986017,1.246918534,4.96,5.47,0.239208,,,,,31,306P/LINEAR
317P/WISE,55727,2455385.227,0.5904467346,10.64556918,328.7279634,280.9856039,1.198390481,4.65,5.01,0.203854,,,,,9,317P/WISE
C/1906 V1 (Thiele),17544,2417536.077,0.9487613645,56.03318114,8.456068198,85.80950568,1.208610867,45.97,114.56,0.230296,,,,,3,C/1906 V1 (Thiele)
C/1921 H1 (Dubiago),22841,2422813.844,0.8477830042,22.07043089,96.44867266,68.21958086,1.098349017,13.33,19.38,0.367524,,,,,3,C/1921 H1 (Dubiago)
D/1978 R1 (Haneda-Campos),43773,2443790.992,0.6652319399,5.947329619,240.4622187,132.2535138,1.101417705,5.48,5.97,0.13492,,,,,7,D/1978 R1 (Haneda-Campos)
C/1991 L3 (Levy),48547,2448445.695,0.9288178631,19.19030997,41.47119826,329.4309837,0.9825594709,26.62,51.28,0.074988,,,,,9,C/1991 L3 (Levy)
P/1999 J6 (SOHO),53580,2453318.081,0.9841773128,26.6131418,21.97680319,81.61378154,0.04905822804,6.15,5.46,0.010175,0.000000395,-0.00000000189,,,6,P/1999 J6 (SOHO)
P/1999 R1 (SOHO),53089,2452891.317,0.9774091221,13.67622884,43.68972274,4.932374957,0.0570126508,4.99,4.01,0.076579,,,,,3,P/1999 R1 (SOHO)
P/1999 RO28 (LONEOS),51441,2451453.843,0.6507867331,8.191041706,219.8588263,148.4502956,1.231758765,5.82,6.62,0.247638,,,,,15,P/1999 RO28 (LONEOS)
C/1999 X3 (SOHO),53074,2453076.829,0.9816398786,6.337569475,353.7341335,323.490768,0.04795123414,5.18,4.22,0.031348,,,,,5,C/1999 X3 (SOHO)
C/2001 OG108 (LONEOS),52248,2452348.706,0.925259301,80.24505505,116.4195121,10.5552957,0.9940478795,25.61,48.5,0.300836,,,,,40,C/2001 OG108 (LONEOS)
C/2001 W2 (BATTERS),52249,2452267.418,0.9413734582,115.9130897,142.0857566,113.3558968,1.051064641,34.81,75.91,0.145327,,,,,22,C/2001 W2 (BATTERS)
C/2002 R5 (SOHO),53575,2452522.684,0.985261262,14.12062881,45.7237989,13.21421538,0.04740160134,6.38,5.77,0.094044,,,,,3,C/2002 R5 (SOHO)
P/2002 S7 (SOHO),53592,2452538.404,0.9848618681,13.57497488,52.15494545,50.19576776,0.04879857033,6.4,5.79,0.114603,,,,,3,P/2002 S7 (SOHO)
P/2003 T12 (SOHO),55968,2455952.953,0.7764221763,11.4758078,217.6773881,176.4650989,0.5748399462,4.57,4.12,0.154232,,,,,5,P/2003 T12 (SOHO)
P/2004 R1 (McNaught),54629,2455248.548,0.682526943,4.894555854,0.626837835,295.9854497,0.986192006,5.23,5.48,0.027011,,,,,20,P/2004 R1 (McNaught)
P/2005 T4 (SWAN),53667,2453654.037,0.930297059,160.0361801,41.44353425,25.42228788,0.6493994391,17.98,28.44,0.157261,,,,,6,P/2005 T4 (SWAN)
P/2005 W4 (SOHO),54203,2453697.986,0.9822675576,14.5962755,49.40000591,53.00487076,0.05398035994,6.03,5.31,0.107655,,-0.0000000000746,,,2,P/2005 W4 (SOHO)
P/2006 HR30 (Siding Spring),54046,2454102.782,0.8431183899,31.88449913,117.4138753,309.9521628,1.226427704,14.41,21.86,0.452907,,,,,87,P/2006 HR30 (Siding Spring)
P/2007 T2 (Kowalski),54417,2454362.521,0.7748340855,9.895275619,358.5515716,3.994965765,0.695862748,5.49,5.43,0.156276,,,,,17,P/2007 T2 (Kowalski)
P/2008 S1 (Catalina-McNaught),55101,2454741.329,0.6663127807,15.1007464,203.6490232,111.3920029,1.190641555,5.95,6.74,0.194101,,,,,13,P/2008 S1 (Catalina-McNaught)
P/2008 Y1 (Boattini),54846,2454887.597,0.7348817591,8.805148715,162.3648341,259.7096838,1.27197954,8.32,10.51,0.289617,,,,,13,P/2008 Y1 (Boattini)
P/2008 Y12 (SOHO),55476,2454822.977,0.9787495375,23.34562318,146.6141611,312.5525907,0.06541368648,6.09,5.4,0.044832,,,,,4,P/2008 Y12 (SOHO)
P/2009 L2 (Yang-Gao),55023,2454973.255,0.6209298159,16.15851413,346.954318,259.3047568,1.296125756,5.54,6.32,0.287493,,,,,20,P/2009 L2 (Yang-Gao)
P/2009 WX51 (Catalina),55175,2455227.575,0.7402970341,9.592585691,118.0163889,31.75826735,0.7999555439,5.36,5.41,0.009227,,,,,19,P/2009 WX51 (Catalina)
C/2010 L5 (WISE),55379,2455309.645,0.9037561917,147.051681,214.729745,206.4730991,0.7909008329,15.64,23.56,0.113609,,,,,6,C/2010 L5 (WISE)
P/2011 NO1 (Elenin),55758,2455582.092,0.776521252,15.27233838,263.6169668,296.0964602,1.242925561,9.88,13.12,0.380652,,,,,8,P/2011 NO1 (Elenin)
C/2011 S2 (Kowalski),55857,2455860.848,0.9316035445,17.57253024,192.1899464,288.0701102,1.115118144,31.49,65.83,0.13779,,,,,16,C/2011 S2 (Kowalski)
P/2012 NJ (La Sagra),56158,2456091.59,0.8480618337,84.37545937,338.4139159,315.7631836,1.291890069,15.71,24.79,0.315258,,,,,31,P/2012 NJ (La Sagra)
P/2013 CU129 (PANSTARRS),56475,2456511.432,0.7221050362,12.14763226,211.9722717,46.20979967,0.800147691,4.96,4.89,0.085523,,,,,38,P/2013 CU129 (PANSTARRS)
P/2013 TL117 (Lemmon),56674,2456706.719,0.6899137951,9.365636389,112.199132,3.362021948,1.117672075,6.09,6.84,0.20162,,,,,45,P/2013 TL117 (Lemmon)
P/2014 U2 (Kowalski),56974,2456937.65,0.6029487638,7.495593453,35.25220977,356.1806792,1.164298274,4.7,5.02,0.183671,,,,,10,P/2014 U2 (Kowalski)
P/2015 A3 (PANSTARRS),57040,2457076.25,0.8481676984,172.5137446,249.5086139,277.0821425,1.15385721,14.05,20.95,0.204591,,,,,1,P/2015 A3 (PANSTARRS)
C/2015 D1 (SOHO),57073,2457073.248,0.9942677736,69.61628937,234.9530166,95.88138486,0.02832105639,9.85,10.98,0.515916,0.00000125,,,,3,C/2015 D1 (SOHO)
C/2015 F2 (Polonia),57110,2457141.343,0.9623991817,28.66103039,352.0587584,262.4816139,1.209544218,63.13,182.45,0.198704,,,,,6,C/2015 F2 (Polonia)
C/2015 F5 (SWAN-Xingming),57124,2457109.599,0.9777341146,149.2569445,13.39233003,287.7390236,0.3460051321,30.73,61.26,0.441413,,,,,2,C/2015 F5 (SWAN-Xingming)
